Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
Wenn Ihr Traum die Leute in Ihrem Umfeld nicht völlig aus der Bahn werfen wird, dann probieren Sie ihn einfach aus und rechtfertigen Sie sich später.		
Menschen - ob es sich um Eltern, Lebenspartner oder Chefs handelt - neigen einfach dazu, aus einem emotionalen Impuls heraus Dinge abzulehnen, die sie im Nachhinein ohne Schwierigkeiten akzeptieren können.		
Wenn der mögliche Schaden überschaubar oder irgendwie wiedergutzumachen ist, dann ist es am besten, wenn Sie anderen gar nicht die Gelegenheit geben, Nein zu sagen.		
Die meisten Menschen sind schnell bereit, Sie zu bremsen, bevor Sie überhaupt angefangen haben. Sie zögern aber, sich Ihnen in den Weg zu stellen, wenn Sie bereits unterwegs sind.		
Üben Sie sich darin, ein Unruhestifter zu sein und sich einfach zu entschuldigen, wenn tatsächlich einmal etwas gründlich schiefgegangen ist.		
Betonen Sie Ihre Stärken und versuchen Sie nicht, die Schwächen zu beseitigen. 		
Es ist nicht nur lohnender, es macht auch viel mehr Spaß, mit den eigenen Stärken zu arbeiten, anstatt immer wieder zu versuchen, die Schwachstellen aufzupolieren.		
Aus Pazifisten werden dann Militante. Aus Freiheitskämpfern werden Tyrannen. Aus Segnungen werden Flüche. Aus Hilfe wird Behinderung. Aus Mehr wird Weniger.		
Es geht darum, freie Zeit positiv zu nutzen und nur das zu tun, was Sie tun wollen, und nicht das, wozu Sie sich verpflichtet fühlen.		
Geld zu haben hat eine ganze Menge Vorzüge, die ich selbst nur allzu gern genieße.		
Doch immer mehr Reichtümer anzuhäufen löst bei weitem nicht so viele Probleme, wie wir manchmal glauben möchten.	bei weitem= by far	
"Wenn ich nur mehr Geld hätte, dann …" - solch eine Behauptung ist die leichteste und bequemste Entschuldigung dafür, sich nicht mit sich selbst auseinanderzusetzen.		
Wer Geld als Ausrede vorschützt und sich von seiner Arbeit verschlingen lässt, kann anderen Dingen aus dem Weg gehen.		
So kommen Sie gar nicht dazu, darüber nachzudenken, wie leer Ihr Leben eigentlich ist und dass Sie sich mit Ihrem beruflichen Engagement nur vorgaukeln, Sie täten Sinnvolles.	jdm. etwas vorgaukeln = to lead sb. to believe smth.	
Da aber alle anderen das gleiche Spiel der Selbsttäuschung spielen, lässt sich diese Erkenntnis leicht verdrängen.		
Wenn Sie jetzt B geantwortet haben, dann liegen Sie völlig richtig - und eben das ist der Unterschied zwischen absolutem und relativem Einkommen.		
Ich werde Ihnen helfen, etwas näher an das erste der beiden genannten Beispiele heranzukommen.		
Wenn wir einem Vorbild folgen und dadurch unsere Grenzen überschreiten, wenn wir uns der Herausforderung stellen und den Winterspeck abtrainieren oder wenn wir Risiken eingehen, die uns selbstbewusster machen - all das sind Beispiele für Eustress.	sich einer Herausforderung stellen = rise to a challenge	
Der Trick ist, diese beiden unterschiedlichen Formen von Stress auseinanderzuhalten.		
Sind Sie gelegentlich unzufrieden, wenn Sie tun, was Sie tun sollen? Oder bereuen Sie hinterher, nicht etwas anderes gemacht zu haben?		
"Was würde passieren, wenn ich das Gegenteil von dem täte, was alle anderen Leute um mich herum machen? Was opfere ich, wenn ich die nächsten fünf, zehn oder 20 Jahre so weitermache wie bisher?“		
Die meisten Risiken sind gar nicht so furchteinflößend, wenn man sie erst einmal auf sich genommen hat.		
Er würde keinen Tag länger zu den lebenden Toten gehören, würde kein Geschäftsessen mehr ertragen, bei dem die Kollegen mit ihren Autos angaben und sich im Glanz ihrer neuen BMWs sonnten.		
Er fürchtete sich zu sterben, ohne sich ganz verwirklicht oder das Beste aus sich herausgeholt zu haben.		
"Mein Gott, ich wünschte, ich könnte tun, was Sie hier tun." Seine Antwort darauf ist immer die Gleiche: "Das können Sie.“		
Es ist nicht gleichbedeutend mit Aufgeben, wenn man seine gegenwärtige Karriere auf unbestimmte Zeit auf Eis legt.		
"Ich würde es gern tun, aber ich kann nicht alles stehen und liegen lassen.“		
Die meisten Menschen sind lieber unglücklich, als Unsicherheit zu riskieren.		
Ich war ebenso unsicher und ängstlich wie der Rest der Welt.		
Vor vier Jahren fand ich dann einen ganz einfachen Ausweg aus diesem Dilemma.		
Reiß dich am Riemen und hör auf, so ein [hier bitte ein Schimpfwort Ihrer Wahl einsetzen] zu sein!		
Mein Baby hatte ein paar schwere Geburtsfehler.		
Und wie überwinde ich die Angst, dass der Laden ohne meine 15-Stunden-Tage auseinanderfällt?		
Wo ist der Fluchtweg aus diesem selbsterrichteten Gefängnis?		
Zuerst einmal begnügte ich mich nämlich damit, sechs Monate lang mit meiner Schande und meinem Zorn herumzulaufen.	sich begnügen mit= to be content 	
Daraus ergab sich die grundlegende Einsicht, dass es praktisch kein Risiko gab. Stattdessen konnte ich aber auf große positive Veränderungen in meinem Leben hoffen.		
Also entschloss ich mich, meine Reise anzutreten, und kaufte mir ein Flugticket nach Europa.		
Keine der Katastrophen, die ich mir ausgemalt hatte, trat ein, und mein Leben hat sich seither auf geradezu märchenhafte Weise verbessert.	sich ausmalen = envision	
Alles, was weniger schlimm ist, kann man schließlich ertragen, wenn man es sich nur schönredet.		
Nur Ihre Angst vor dem Unbekannten, die sich als Optimismus tarnt, hindert Sie daran, etwas zu ändern.		
Um das Leben zu genießen, brauchen Sie keinen Schnickschnack, solange Sie selbstbestimmt über Ihre Zeit verfügen können und erkennen, dass die meisten Dinge nicht so ernst sind, wie Sie sich manchmal einreden.		
Er ist entschlossen, für sich und seine Familie besondere Momente zu schaffen, und seine Rente bereitet ihm keinerlei Kopfzerbrechen.		
Ich bin ein alter Mann und ich habe viel Schreckliches erlebt, doch das meiste davon ist zum Glück nie eingetreten.		
Wenn der Gedanke abzuspringen Sie nervös macht oder Sie ihn aus Angst vor dem Unbekannten immer wieder aufschieben, dann kann ich Ihnen helfen.		
Kürzen Sie nicht und korrigieren Sie nicht - schreiben Sie einfach drauflos, je mehr, desto besser.		
Welche Zweifel, Ängste und Bedenken kommen hoch, wenn Sie über die großen Veränderungen nachdenken, die Sie in Ihrem Leben vornehmen möchten?	Veränderungen vornehmen= make changes	
Stellen Sie sich den schlimmsten Fall in allen Details vor und malen Sie ihn sich in den buntesten Farben aus.		
Wäre es das Ende Ihres Lebens? Wie groß wäre der Schaden auf Dauer - wenn es überhaupt einen gäbe - auf einer Skala von eins bis zehn?		
Angenommen, Sie würden heute Ihren Job verlieren. Was täten Sie, um Ihr Leben finanziell unter Kontrolle zu bekommen?		
Wenn Sie Ihren Job kündigten, um andere Möglichkeiten zu erproben, wie könnten Sie dann später, wenn es unbedingt sein müsste, wieder auf den gleichen Karrierepfad zurückkehren?		
Wir haben Angst vor dem ungewissen Ausgang, und diese Angst hält uns davon ab, das Notwendige anzupacken.	anpacken = tackle<br>Ausgang= outcome	
Das, wovor wir uns am meisten fürchten, ist normalerweise das, was wir am dringendsten tun müssen.		
Fassen Sie den Entschluss, jeden Tag etwas zu tun, wovor Sie sich fürchten.		
Wenn Sie diese Frage nicht beantworten können, ohne sich auf den bereits erwähnten falschen Zeitpunkt zu berufen, dann ist die Antwort ganz einfach: Sie haben Angst, so wie der Rest der Welt.	sich berufen auf= refer to	
Rechnen Sie sich aus, was es Sie kostet, untätig zu bleiben.		
Machen Sie sich klar, dass viel von dem, was schiefgehen könnte, unwahrscheinlich und/oder leicht zu reparieren ist.		
Legen Sie los und machen Sie das, was alle Menschen tun, die Herausragendes leisten wollen: HANDELN SIE!		
Der vernünftige Mensch passt sich der Welt an; der unvernünftige besteht auf dem Versuch, die Welt sich anzupassen. Deshalb hängt aller Fortschritt vom unvernünftigen Menschen ab.		
Ich musste sie bestechen. Was hatte ich denn sonst für eine Wahl, um sie zu überzeugen?		
Diese Aufgabe sollte sie dazu bringen, ihre Bequemlichkeit zu überwinden und einige der Strategien zu benutzen, die ich lehre.		
Resultat fand ich faszinierend und deprimierend zugleich.		
Um Großes erreichen zu können, müssen Sie aber erst einmal die richtigen Fragen stellen.		
Die meisten Menschen wissen nämlich nicht, was sie wollen. Mich eingeschlossen.		
Wenn Sie mich aber fragen, was ich in den nächsten fünf Monaten für meine Sprachkenntnisse tun will, dann weiß ich das sehr wohl.		
"Was sind Ihre Ziele?" hat genau den gleichen Effekt - man ruft damit nur Verwirrung und Mutmaßungen hervor.		
Für eine bessere Frage müssen wir einen Schritt zurücktreten und uns das Gesamtbild anschauen.		
Nehmen wir einmal an, wir haben zehn Ziele und wir erreichen sie alle - welches angestrebte Ergebnis rechtfertigt diese ganzen Anstrengungen?		
Inzwischen halte ich das nicht mehr für eine gute Antwort.		
Das Wort "Glück" ist mittlerweile so allgegenwärtig, dass es fast nichts mehr bedeutet.		
Es gibt aber einen anderen Begriff, der viel präziser ist und deutlich macht, was ich für unser tatsächliches Ziel halte.		
Und damit schließt sich der Kreis. Die Frage, die Sie sich stellen sollten, lautet nicht "Was will ich?" oder "Was sind meine Ziele?", sondern "Was würde mich begeistern?".		
"Sei realistisch und hör auf, dir was vorzumachen. Das Leben ist kein Hollywoodfilm."	sich (dat) etw. vormachen= kid yourself	
Sei realistisch, werde Buchhalter oder Lehrer oder Arzt, gründe eine Familie, bekomme Kinder und erziehe sie so, dass sie den Kreislauf wiederholen.		
Ich wollte eine Einkommensquelle, die automatisch sprudelte.		
So arbeiten die meisten Menschen bis zu ihrem Tod unter dem Motto: "Ich werde arbeiten, bis ich X Euro habe, und dann mache ich, was ich will."		
"Der dicke Mann im roten BMW-Cabrio" war eine perfekte Metapher, die meine Ängste auf den Punkt brachte.		
Vergessen Sie niemals: Ihr Feind ist die Langeweile und nicht irgendein abstraktes Scheitern.		
Es gibt eine besondere Methode, die ich regelmäßig einsetze, um wieder Schwung in mein Leben zu bringen und meinen Kurs zu korrigieren, wann immer der dicke Mann in seinem roten BMW meinen Weg kreuzt.		
Ich habe festgestellt, dass die erfolgreichsten NR überall auf der Welt ganz ähnlich vorgehen und sogenannte Traumpläne zur Hilfe nehmen.		
Das Leben ist zu kurz, um klein zu sein.		
Was würden Sie tun, wenn Sie unmöglich scheitern könnten? Wenn Sie zehnmal klüger wären als der Rest der Welt?		
Bitte halten Sie die Reihenfolge dieser drei Kategorien ein.		
Setzen Sie sich keine Grenzen und kümmern Sie sich nicht darum, wie Sie diese Ziele erreichen oder umsetzen können.<br />		
Das ist im Moment unwichtig. Das hier ist eine Übung, um Hemmungen zu überwinden und Lebensträume nicht länger zu verdrängen.		
Wenn Sie eigentlich einen Ferrari wollen, dann schreiben Sie nicht "den Hunger in der Welt bekämpfen"		
Einige werden von Ruhm träumen, andere von Reichtum.		
Ich habe mir zum Beispiel ein Rennmotorrad angeschafft - und abgesehen von der Tatsache, dass ich gerne schnell fahre, gibt das Ding mir einfach das Gefühl, ein cooler Typ zu sein.		
Betreiben Sie keine Selbstzensur und schreiben Sie alles auf.		
Die meisten Menschen beschweren sich zwar ständig über Umstände, Dinge und Menschen, von denen sie sich irgendwie behindert fühlen.		
Was würden Sie tagtäglich tun, wenn Sie 100 Millionen Euro auf dem Konto hätten?	tagtäglich = everyday	
Auf welche Aktivität würden Sie sich jeden Morgen nach dem Aufwachen am allermeisten freuen?	am allermeisten= most of all	
Sie können für die Umsetzung entweder sechs Monate oder auch zwölf Monate veranschlagen.	veranschlagen= budget	
Zum Schluss berechnen Sie nun Ihr monatliches Zieleinkommen (MZE), das Sie zur Realisierung der Ziele auf Ihrem Traumplan benötigen.		
Die Summe ist Ihr anzustrebendes persönliches MZE.		
In dieser Übung geht es deshalb auch vor allem darum, das Endziel möglichst konkret zu definieren, den dafür nötigen finanziellen Rahmen abzustecken und die ersten wichtigen Schritte zu gehen, um das Ganze ins Rollen zu bringen.		
Jeder Schritt sollte so einfach sein, dass man ihn in höchstens fünf Minuten erledigen kann. Wenn das nicht möglich ist, dann unterteilen Sie ihn in mehrere kleine Schritte.		
Schicken Sie zum Beispiel eine E-Mail und tätigen Sie den notwendigen Anruf dann gleich morgen früh als Erstes.		
Meiner Meinung nach ist es am besten, gleich zu Anfang jemanden zu finden, der erfolgreich das getan hat, was Sie vorhaben. Bitten Sie ihn um Rat.		
Das ist meist gar nicht so schwer. Andere Möglichkeiten, um in die Gänge zu kommen, sind etwa, ein Treffen oder ein Telefonat mit einem Trainer, Mentor oder Verkäufer zu vereinbaren.		
Damit Sie sich nicht davor drücken können, kann es oft helfen, einen verbindlichen Termin zu vereinbaren - dann müssen Sie sich der Sache stellen.	sich drücken vor = chicken out	
Ich habe mich selbst daran gewöhnt, Lösungen vorzuschlagen, anstatt nach ihnen zu fragen; die gewünschten Antworten zu provozieren, anstatt zu reagieren, und meinen Willen durchzusetzen, ohne die Brücken hinter mir abzubrechen.		
Um einen ungewöhnlichen Lebensstil zu pflegen, müssen Sie lernen, Entscheidungen zu treffen - sowohl für sich selbst als auch für andere.		
Betrachten Sie das Ganze als ein Spiel und rechnen Sie mit ein wenig Nervenflattern und Schweißausbrüchen - genau darum geht es.		
Die Gegner müssen sich drei Minuten ununterbrochen in die Augen schauen.		
Wenn man an einer solchen Veranstaltung teilnimmt, wird einem klar, wie unangenehm das für die meisten Menschen ist.		
Üben Sie die nächsten beiden Tage über, anderen in die Augen zu starren - ob es nun Menschen sind, an denen Sie zufällig vorübergehen, oder Ihre direkten Gesprächspartner.		
Eitel ist es, mit mehr zu tun, was auch mit weniger getan werden kann.		
Tappen Sie nicht in diese Falle und lassen Sie ein solches Verhalten schön bleiben.	in eine Falle tappen= blunder into a trap	
Ob Sie es glauben oder nicht: Es ist nicht nur möglich, mehr zu erreichen, indem man weniger tut. Weniger zu tun ist auch die unabdingbare Voraussetzung dafür, mehr zu erreichen.		
Der Trick besteht natürlich darin, das ohne Einkommenseinbußen oder sogar mit einer Einkommensverbesserung zu bewerkstelligen.		
Mit diesem Kapitel möchte ich Sie dabei unterstützen, Ihre persönliche Produktivität um 100 bis 500 Prozent zu steigern.		
Die Prinzipien sind dabei für Angestellte und Unternehmer die gleichen, doch der Zweck ihrer gesteigerten Produktivität ist jeweils ein völlig anderer.		
Aber unabhängig davon, welche Reihenfolge für Sie die richtige ist, zuerst müssen wir ein paar Dinge definieren.		
Effektivität bedeutet, die Dinge zu tun, die uns näher an unsere Ziele heranbringen.		
Effizient zu sein, bedeutet hingegen, eine gegebene Aufgabe (ob sie nun wichtig ist oder nicht) so ökonomisch wie möglich zu bewältigen.		
Ich war früher selbst Spezialist für derart professionelles Däumchendrehen.		
Behalten Sie also bitte diese zwei Binsenweisheiten im Kopf:	binsenweisheit= truism	
Etwas Unwichtiges wird auch dadurch, dass man es gut erledigt, nicht zu etwas Wichtigem.		
Die Tatsache, dass eine Aufgabe viel Zeit in Anspruch nimmt, macht sie nicht wichtig.		
Effizienz ist natürlich wichtig, aber sie ist wertlos, wenn man sie nicht auf die richtigen Dinge anwendet. Und um die richtigen Dinge zu finden, müssen wir zuerst einmal in den Garten gehen.		
Pareto zeigte, dass der Wohlstand einer Gesellschaft extrem ungleich, wenn auch innerhalb der Gruppen sehr regelmäßig verteilt ist.		
80 Prozent des Reichtums und des Einkommens sind im Besitz von 20 Prozent der Bevölkerung.		
Die gleiche mathematische Formel lässt sich auch außerhalb der Ökonomie anwenden.		
Paretos Gesetz lässt sich folgendermaßen zusammenfassen: 20 Prozent des Inputs sorgen für 80 Prozent des gesamten Outputs. Das lässt sich, je nach Kontext, auch anders ausdrücken:	folgendermaßen= as follows	
Diese Liste kann unendlich fortgesetzt werden.		
Dabei ist das Ungleichgewicht oft sogar noch stärker ausgeprägt: 90/10, 95/5 oder 99/1 sind nicht ungewöhnlich - mindestens handelt es sich aber um ein Verhältnis 80/20.	ausgeprägt = pronounced 	
Als ich eines späten Abends über Paretos Arbeit stolperte, schuftete ich sieben Tage in der Woche 15 Stunden lang und fühlte mich total überfordert und hilflos.		
Welche 20 Prozent aller Maßnahmen sorgen für 80 Prozent der erwünschten Ergebnisse und somit dafür, dass ich glücklich bin?		
Einen ganzen Tag lang ignorierte ich alle anderen scheinbar so dringenden Dinge und analysierte meine Situation so umfassend und leidenschaftslos, wie ich konnte.		
Das Ziel einer solchen Analyse ist, zu erkennen, welche Dinge in Ihrem Leben nur wenig dazu beitragen, dass Sie Ihre Ziele erreichen.		
In den folgenden 24 Stunden traf ich eine Reihe von simplen, aber emotional schmerzhaften Entscheidungen, die mein Leben buchstäblich für immer veränderten und mich in die Lage versetzten, den Lebensstil zu genießen, den ich heute pflege.		
Von meinen mehr als 120 Großhandelskunden sorgten gerade mal fünf für 95 Prozent des Umsatzes.		
Da die erwähnten fünf regelmäßig bestellten, ohne dass ich ihnen nachtelefonieren, sie überzeugen oder beschwatzen musste, brachte ich 98 Prozent meiner Zeit damit zu, den restlichen Kunden hinterherzujagen.	beschwatzen = coax<br>hinterherjagen= chase around	
Mit anderen Worten: Ich arbeitete, weil ich das Gefühl hatte, den ganzen Tag arbeiten zu müssen.		
Ich hatte nicht begriffen, dass es nicht das Ziel war, von neun bis fünf Uhr zu ackern.	ackern = slog away	
Die meisten Menschen tun das, einfach weil es ihrer Gewohnheit entspricht - ob es nun nötig ist oder nicht.		
Ich schaute mir die Probleme an, mit denen ich zu kämpfen hatte.		
"Hier ist der Schlamassel, den ich angerichtet habe, sehen Sie zu, wie Sie damit klarkommen."		
Um die unprofitablen Kunden kümmerte ich mich nicht weiter.		
Wenn sie etwas bestellen wollten, schön, dann sollten sie mir eben ihre Bestellung faxen. Wenn nicht, würde ich ihnen definitiv nicht weiter nachlaufen.		
Damit blieben mir noch die beiden erwähnten Großkunden, die professionelle Nervensägen waren, aber zu der Zeit etwa zehn Prozent zu meinem Gesamtgewinn beitrugen.		
Bis zu diesem Zeitpunkt hatte ich ihre Drohungen und Beleidigungen, die zeitraubenden Streitereien und die Schimpftiraden gewissermaßen als Teil der Betriebskosten verbucht.		
Durch meine 80/20-Analyse wurde mir klar, dass diese zwei Kunden für einen großen Teil meines beruflichen Ärgers verantwortlich waren.		
Mein Ärger erstreckte sich bis in meine Freizeit hinein, und ich führte nächtliche Selbstgespräche nach dem Muster: "Ich hätte diesem Drecksack X, Y und auch noch Z sagen sollen."		
Schließlich wurde mir das Offensichtliche klar: Der Schaden, den mein Selbstwertgefühl und mein Seelenfrieden nahmen, war den finanziellen Gewinn schlicht und einfach nicht wert.	schlicht und einfach= plain and simple<br>Seelenfrieden = peace of mind	
Ich brauchte das Geld nicht aus irgendeinem bestimmten Grund, ich hatte einfach angenommen, dass ich mich darum bemühen müsste, diese beiden Geschäftspartner zufriedenzustellen.		
Der Kunde hat schließlich immer Recht, stimmt's? So ist es eben im Geschäftsleben, nicht wahr? Nein, verdammt nochmal.		
Ein beliebiger NR - in diesem Fall ich: Ich werde Sie umbringen. Sie werden mir nicht entkommen.		
Schön wär's. Ich spielte dieses Gespräch etwa eine Million Mal in meinem Kopf durch, aber in Wirklichkeit lief es eher so ab:		
Wissen Sie, ich höre mir Ihre Beleidigungen jetzt schon eine Zeit lang an und ich glaube, dass wir leider in Zukunft keine Geschäfte mehr miteinander machen können.		
Ich würde Ihnen empfehlen, einmal ernsthaft darüber nachzudenken, wo Ihre ganze schlechte Laune und Aggressivität eigentlich herkommen.		
Ich wünsche Ihnen jedenfalls alles Gute für die Zukunft.		
Wenn Sie etwas bestellen wollen, werden wir das gerne liefern, allerdings nur, wenn Sie es schaffen, sich einigermaßen zivilisiert und ohne Beleidigungen auszudrücken.		
Und ich war mit sofortiger Wirkung zehnmal glücklicher.		
Dann analysierte ich, was meine fünf größten Kunden für Gemeinsamkeiten hatten, und suchte mir in der folgenden Woche etwa drei Käufer mit einem ähnlichen Profil.		
Mehr Kunden zu bekommen ist nicht das Ziel, denn es führt oft zu 90 Prozent mehr Verwaltungsaufwand für eine kümmerliche Gewinnsteigerung von ein bis drei Prozent.		
Denken Sie daran: Das wichtigste Ziel heißt, maximales Einkommen durch geringstmöglichen Einsatz (und das bedeutet auch eine minimale Anzahl von Kunden).		
Das Ergebnis? Ich versuchte nicht mehr, 120 Kunden zu umgarnen, stattdessen bekam ich von acht Kunden große Bestellungen, und zwar ohne jegliche Telefonbetteleien oder E-Mail-Predigten.		
Mein monatliches Einkommen stieg innerhalb von vier Wochen von 30000 auf 60000 Dollar, und meine wöchentliche Arbeitszeit fiel mit einem Schlag von über 80 auf ungefähr 15 Stunden.		
Und das Wichtigste: Zum ersten Mal seit zwei Jahren fühlte ich mich wohl, war optimistisch und befreit.		
Ich forschte nach, welche Werbemaßnahmen 80 Prozent oder mehr aller Bestellungen generierten, bestimmte die Gemeinsamkeiten zwischen ihnen, verstärkte diese und ließ den ganzen Rest bleiben.		
Mein Managementaufwand sank von fünf bis zehn Stunden in der Woche auf eine Stunde pro Monat.		
Geschäftigkeit ist eine Form von Faulheit - Faulheit des Denkens und wahlloses Handeln.		
In Arbeit zu ertrinken ist ebenso unproduktiv wie gar nichts zu tun - und es ist weitaus unangenehmer.		
Gezielt auswählen und weniger tun - das ist der produktivere Weg.		
